task,country,age_bracket,sex,n,mean,std,sem,ci95
ETHICS commonsense,USA,18-24,female,25,0.78376,0.016636506,0.0033273012,0.0065215104
ETHICS commonsense,USA,18-24,male,25,0.78648,0.0096484887,0.0019296977,0.0037822076
ETHICS commonsense,USA,25-34,female,25,0.78296,0.0090759756,0.0018151951,0.0035577824
ETHICS commonsense,USA,25-34,male,25,0.78848,0.010973908,0.0021947817,0.0043017721
ETHICS commonsense,USA,35+,female,25,0.78744,0.0099753028,0.0019950606,0.0039103187
ETHICS commonsense,USA,35+,male,25,0.78272,0.0115597,0.00231194,0.0045314024
ETHICS deontology,Australia,18-24,female,25,0.642,0.0084459063,0.0016891813,0.0033107953
ETHICS deontology,Australia,18-24,male,25,0.63896,0.0090575935,0.0018115187,0.0035505767
ETHICS deontology,Australia,25-34,female,25,0.63792,0.0082760699,0.001655214,0.0032442194
ETHICS deontology,Australia,25-34,male,25,0.6416,0.0077674535,0.0015534907,0.0030448418
ETHICS deontology,Australia,35+,female,25,0.63632,0.0071572807,0.0014314561,0.002805654
ETHICS deontology,Australia,35+,male,25,0.6408,0.0078315601,0.001566312,0.0030699716
ETHICS deontology,Brazil,18-24,female,25,0.63416,0.010502698,0.0021005396,0.0041170576
ETHICS deontology,Brazil,18-24,male,25,0.63928,0.010081005,0.002016201,0.0039517541
ETHICS deontology,Brazil,25-34,female,25,0.63072,0.0076785415,0.0015357083,0.0030099883
ETHICS deontology,Brazil,25-34,male,25,0.63152,0.0070776644,0.0014155329,0.0027744444
ETHICS deontology,Brazil,35+,female,25,0.64088,0.010215674,0.0020431348,0.0040045443
ETHICS deontology,Brazil,35+,male,25,0.63336,0.010827742,0.0021655484,0.0042444749
ETHICS deontology,China,18-24,female,25,0.63856,0.0088979398,0.001779588,0.0034879924
ETHICS deontology,China,18-24,male,25,0.63488,0.014012851,0.0028025702,0.0054930377
ETHICS deontology,China,25-34,female,25,0.63656,0.0094077982,0.0018815596,0.0036878569
ETHICS deontology,China,25-34,male,25,0.63536,0.0092325511,0.0018465102,0.00361916
ETHICS deontology,China,35+,female,25,0.63616,0.0098812955,0.0019762591,0.0038734678
ETHICS deontology,China,35+,male,25,0.63264,0.0081182921,0.0016236584,0.0031823705
ETHICS deontology,Germany,18-24,female,25,0.6376,0.0086986589,0.0017397318,0.0034098743
ETHICS deontology,Germany,18-24,male,25,0.6436,0.0070237692,0.0014047538,0.0027533175
ETHICS deontology,Germany,25-34,female,25,0.63608,0.010793208,0.0021586415,0.0042309374
ETHICS deontology,Germany,25-34,male,25,0.64488,0.0074179961,0.0014835992,0.0029078545
ETHICS deontology,Germany,35+,female,25,0.6344,0.010692677,0.0021385353,0.0041915292
ETHICS deontology,Germany,35+,male,25,0.6416,0.0068799225,0.0013759845,0.0026969296
ETHICS deontology,India,18-24,female,25,0.62608,0.014496896,0.0028993792,0.0056827833
ETHICS deontology,India,18-24,male,25,0.63648,0.0099210215,0.0019842043,0.0038890404
ETHICS deontology,India,25-34,female,25,0.63312,0.010313098,0.0020626197,0.0040427346
ETHICS deontology,India,25-34,male,25,0.63112,0.0088332704,0.0017666541,0.003462642
ETHICS deontology,India,35+,female,25,0.63,0.011150486,0.0022300972,0.0043709904
ETHICS deontology,India,35+,male,25,0.6332,0.010661457,0.0021322914,0.0041792912
ETHICS deontology,South Afric,18-24,female,25,0.63736,0.011071284,0.0022142568,0.0043399434
ETHICS deontology,South Afric,18-24,male,25,0.6348,0.010392305,0.002078461,0.0040737835
ETHICS deontology,South Afric,25-34,female,25,0.6376,0.0088694231,0.0017738846,0.0034768139
ETHICS deontology,South Afric,25-34,male,25,0.63672,0.0091265181,0.0018253036,0.0035775951
ETHICS deontology,South Afric,35+,female,25,0.63272,0.0094318609,0.0018863722,0.0036972895
ETHICS deontology,South Afric,35+,male,25,0.6384,0.010424331,0.0020848661,0.0040863376
ETHICS deontology,USA,18-24,female,25,0.63904,0.0090759756,0.0018151951,0.0035577824
ETHICS deontology,USA,18-24,male,25,0.64048,0.0070776644,0.0014155329,0.0027744444
ETHICS deontology,USA,25-34,female,25,0.64104,0.0088716778,0.0017743356,0.0034776977
ETHICS deontology,USA,25-34,male,25,0.6364,0.01335415,0.0026708301,0.005234827
ETHICS deontology,USA,35+,female,25,0.63592,0.0078417685,0.0015683537,0.0030739733
ETHICS deontology,USA,35+,male,25,0.64272,0.0089233775,0.0017846755,0.003497964
ETHICS justice,Australia,18-24,female,25,0.6516,0.012569805,0.002513961,0.0049273636
ETHICS justice,Australia,18-24,male,25,0.65368,0.01697724,0.0033954479,0.0066550779
ETHICS justice,Australia,25-34,female,25,0.64848,0.0098197081,0.0019639416,0.0038493256
ETHICS justice,Australia,25-34,male,25,0.65488,0.018249018,0.0036498036,0.0071536151
ETHICS justice,Australia,35+,female,25,0.64656,0.012308804,0.0024617609,0.0048250513
ETHICS justice,Australia,35+,male,25,0.64992,0.012642257,0.0025284514,0.0049557648
ETHICS justice,Brazil,18-24,female,25,0.64456,0.01509437,0.003018874,0.005916993
ETHICS justice,Brazil,18-24,male,25,0.65336,0.016459243,0.0032918485,0.0064520231
ETHICS justice,Brazil,25-34,female,25,0.64064,0.010904433,0.0021808867,0.0042745379
ETHICS justice,Brazil,25-34,male,25,0.64056,0.010480458,0.0020960916,0.0041083395
ETHICS justice,Brazil,35+,female,25,0.6492,0.014583095,0.002916619,0.0057165733
ETHICS justice,Brazil,35+,male,25,0.64504,0.015525463,0.0031050926,0.0060859815
ETHICS justice,China,18-24,female,25,0.64896,0.017493999,0.0034987998,0.0068576476
